# UEVR GTA SA DE grip calibration per-hand-v8
# entry 8 weaponId record hand anatomicalFramed posX posY posZ rotW rotX rotY rotZ
# record 0=primary-grip hand 0/1, record 1=support-contact hand 0/1
entry 8 1 0 0 1 -2.175414 7.572733 0.416546 -0.527185 0.365265 -0.666653 0.379777
entry 8 1 0 1 1 -1.827592 -0.138257 0.118750 0.599388 0.285583 0.709293 0.236810
entry 8 3 0 0 1 -1.495108 3.698320 16.573883 0.602198 -0.048370 0.782875 -0.148743
entry 8 3 0 1 1 -1.615307 1.238613 16.773052 0.587825 0.067784 0.784071 0.187347
entry 8 4 0 0 1 0.824325 4.121367 3.602829 -0.588226 0.103450 -0.787308 0.153079
entry 8 4 0 1 1 0.680364 3.054655 4.209363 0.589291 0.088297 0.789422 0.147489
entry 8 5 0 0 1 -0.162653 4.491050 15.370973 -0.580927 0.062461 -0.800192 0.135335
entry 8 9 0 0 1 -0.842067 4.439094 0.091771 -0.587368 0.212134 -0.769357 0.134493
entry 8 9 0 1 1 -1.957699 2.920540 0.596532 0.608828 0.148984 0.770842 0.113733
entry 8 15 0 1 1 -1.419730 3.722967 12.156298 0.582898 0.105521 0.784439 0.183713
entry 8 22 0 0 1 3.954530 3.117191 3.751222 0.626767 0.029219 0.760919 -0.165262
entry 8 22 0 1 1 6.289045 1.341624 3.162951 0.633813 -0.038558 0.752008 0.176857
entry 8 23 0 0 1 2.788560 3.621253 3.456419 -0.603011 0.137781 -0.768584 0.163322
entry 8 24 0 0 1 3.622950 2.447337 3.299632 0.703088 -0.073693 0.691170 -0.150071
entry 8 24 0 1 1 1.441520 1.609723 2.007124 0.709671 0.056144 0.682052 0.167391
entry 8 25 0 0 1 7.116447 7.008479 -2.238975 0.734927 -0.302080 0.594395 -0.123792
entry 8 25 0 1 1 7.438040 4.126413 -0.527029 0.713460 0.156855 0.678492 0.077596
entry 8 25 1 0 0 31.404404 -6.061054 8.894991 -0.544901 0.765506 0.279959 -0.196738
entry 8 25 1 1 0 27.316175 2.744347 10.966648 0.904904 -0.387870 0.168897 -0.046684
entry 8 26 0 0 1 2.766761 4.278423 1.251762 -0.617077 0.286276 -0.715193 0.160504
entry 8 26 0 1 1 1.177064 0.668334 2.117641 0.641513 0.162780 0.728736 0.175809
entry 8 27 0 0 1 1.412270 4.335264 4.033756 -0.555628 0.059517 -0.809165 0.181624
entry 8 27 0 1 1 0.933579 3.328666 3.805764 0.579108 0.101881 0.797877 0.132838
entry 8 27 1 0 0 37.208778 -5.274551 4.144704 -0.575393 0.707794 0.392656 -0.117358
entry 8 27 1 1 0 29.236904 2.456576 7.063410 -0.867569 0.484956 -0.066113 0.088153
entry 8 28 0 0 1 4.015261 3.897620 6.759082 -0.590511 0.115346 -0.770537 0.210391
entry 8 28 0 1 1 3.161534 1.680136 6.022412 0.618517 0.077641 0.772831 0.118912
entry 8 29 0 0 1 1.180845 3.849845 -0.044846 -0.618362 0.109996 -0.747020 0.217922
entry 8 29 0 1 1 1.618449 2.734107 -0.443531 0.686938 0.058497 0.720614 0.073550
entry 8 29 1 0 0 23.484980 -4.482016 11.865051 -0.516352 0.788880 0.297882 -0.149387
entry 8 29 1 1 0 20.469160 4.451141 12.475365 0.772034 -0.577420 0.063138 -0.257998
entry 8 30 0 0 1 3.324833 5.195717 2.775569 -0.607046 0.147382 -0.748220 0.223474
entry 8 30 0 1 1 3.084331 1.554988 2.798137 0.638138 0.141525 0.747308 0.119505
entry 8 30 1 0 0 33.579796 -5.046303 4.921729 -0.570060 0.752125 0.283481 -0.170230
entry 8 30 1 1 0 32.572784 4.755838 5.416758 -0.688255 0.606914 -0.105632 0.383147
entry 8 31 0 0 1 2.708910 4.292666 6.576236 -0.557749 0.143240 -0.786858 0.221930
entry 8 31 0 1 1 2.677978 1.579192 5.763997 0.608232 0.107113 0.776579 0.124522
entry 8 31 1 0 0 18.297302 -4.044453 -5.544519 0.174441 -0.956856 -0.163576 -0.165044
entry 8 31 1 1 0 18.394363 3.484184 -4.725801 0.942437 -0.250730 -0.189698 -0.113853
entry 8 32 0 0 1 2.260289 3.785796 2.714852 0.655840 -0.091746 0.734748 -0.146978
entry 8 32 0 1 1 2.289647 2.923488 2.880513 0.666064 0.099615 0.723072 0.153630
entry 8 33 0 0 1 3.781025 6.587783 -0.825241 -0.661517 0.289015 -0.674380 0.155167
entry 8 33 0 1 1 5.396799 2.957780 -1.959954 0.653114 0.375863 0.657195 -0.016226
entry 8 33 1 0 0 20.545181 -3.893047 6.525433 -0.419001 0.889337 0.172672 -0.060855
