# UEVR GTA SA DE magnetic holster anchors v3
# entry 3 weaponId hand posX posY posZ forwardX forwardY forwardZ rightX rightY rightZ upX upY upZ
entry 3 1 0 26.000000 18.000000 -62.000000 0.298926 0.059426 -0.952424 -0.235476 0.971790 -0.013272 0.924767 0.228240 0.304487
entry 3 4 0 26.000000 -22.310802 -62.000000 -0.995961 -0.065030 -0.061913 -0.058514 0.993083 -0.101796 0.068104 -0.097762 -0.992877
entry 3 5 0 22.491684 26.000000 -62.000000 -0.510137 -0.856365 -0.080001 -0.852115 0.515853 -0.088291 0.116879 0.023130 -0.992877
entry 3 22 0 4.000000 26.000000 -62.000000 -0.294899 0.076960 -0.952424 -0.278002 -0.960543 0.008461 -0.914193 0.267271 0.304658
entry 3 23 1 26.000000 18.000000 -62.000000 0.269835 -0.141695 -0.952424 0.419150 0.907771 -0.016301 0.866893 -0.394810 0.304339
entry 3 24 1 26.000000 -26.000000 -62.000000 0.149191 -0.265763 -0.952424 0.885520 0.464512 0.009094 0.439995 -0.844748 0.304640
entry 3 25 0 22.000000 21.000000 -68.000000 0.118931 0.007147 -0.992877 -0.078138 0.996940 -0.002183 0.989823 0.077841 0.119125
entry 3 26 0 26.000000 -18.000000 -62.000000 0.304775 0.000691 -0.952424 -0.048098 0.998735 -0.014667 0.951209 0.050280 0.304423
entry 3 28 0 26.000000 -20.423656 -62.000000 0.299804 0.054823 -0.952424 -0.194371 0.980917 -0.004721 0.933990 0.186539 0.304739
entry 3 30 0 22.000000 -30.000000 -68.000000 0.118337 -0.013855 -0.992877 0.152234 0.988335 0.004353 0.981235 -0.151665 0.119066
entry 3 31 0 16.185307 30.000000 -68.000000 -0.041244 0.111779 -0.992877 -0.959637 -0.281122 0.008214 -0.278202 0.953140 0.118862
entry 3 32 0 26.000000 25.835594 -62.000000 -0.075393 0.295303 -0.952424 -0.980206 -0.197298 0.016419 -0.183063 0.934810 0.304333
entry 3 33 0 22.000000 30.000000 -68.000000 0.063900 0.100560 -0.992877 -0.841924 0.539595 0.000466 0.535799 0.835897 0.119144
entry 3 34 0 13.907028 -30.000000 -68.000000 0.092677 -0.074876 -0.992877 0.744330 0.667538 0.019136 0.661350 -0.740801 0.117598
entry 3 35 0 2.000000 21.000000 -68.000000 -0.112910 -0.038038 -0.992877 0.306838 -0.951760 0.001570 -0.945041 -0.304475 0.119135
entry 3 37 0 14.337885 30.000000 -68.000000 -0.033066 0.114465 -0.992877 -0.986290 -0.164434 0.013890 -0.161673 0.979724 0.118333
entry 3 41 0 26.000000 -24.390656 -62.000000 0.292942 -0.084104 -0.952424 0.332376 0.942956 0.018963 0.896500 -0.322118 0.304185
